"filename", "language", "Markdown", "JavaScript", "JSON with Comments", "HTML", "JSON", "Batch", "XML", "CSS", "TypeScript", "Java", "Properties", "SQL", "YAML", "Zip", "comment", "blank", "total"
"c:\Learning\sample\synchronous github\MarkdownOL\CONTRIBUTING.md", "Markdown", -3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1, -4
"c:\Learning\sample\synchronous github\MarkdownOL\README.md", "Markdown", -46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -27, -73
"c:\Learning\sample\synchronous github\MarkdownOL\SECURITY.md", "Markdown", -19, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -30
"c:\Learning\sample\synchronous github\MarkdownOL\backup\MarkdownOLv1.zip", "Zip", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -940, 0, -10, -950
"c:\Learning\sample\synchronous github\MarkdownOL\backup\MarkdownOLv2.zip", "Zip", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -360040, 0, -2569, -362609
"c:\Learning\sample\synchronous github\MarkdownOL\docs\2904f250.aboutBox关闭.svg", "XML", 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, 0, 0, -1
"c:\Learning\sample\synchronous github\MarkdownOL\docs\98d6366e.index.css", "CSS", 0, 0, 0, 0, 0, 0, 0, -1, 0, 0, 0, 0, 0, 0, 0, -1, -2
"c:\Learning\sample\synchronous github\MarkdownOL\docs\README.md", "Markdown", -46, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, -72
"c:\Learning\sample\synchronous github\MarkdownOL\docs\index.html", "HTML", 0, 0, 0, -57, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -4, -72
"c:\Learning\sample\synchronous github\MarkdownOL\docs\sitemap.xml", "XML", 0, 0, 0, 0, 0, 0, -11, 0, 0, 0, 0, 0, 0, 0, -1, -4, -16
"c:\Learning\sample\synchronous github\MarkdownOL\docs\static\index-9d23e108.js", "JavaScript", 0, -232, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -58, -12, -302
"c:\Learning\sample\synchronous github\MarkdownOL\index.html", "HTML", 0, 0, 0, -56, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, -11, -3, -70
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\APP.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, -5, -5, -32
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\AbstractAuthService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -84, 0, 0, 0, 0, -40, -12, -136
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\AuthConstant.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -26, 0, 0, 0, 0, -36, -9, -71
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\AuthContext.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -58, 0, 0, 0, 0, -48, -16, -122
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\AuthController.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -35, 0, 0, 0, 0, -20, -8, -63
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\AuthProperties.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -171, 0, 0, 0, 0, -79, -30, -280
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\AuthService.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -57, 0, 0, 0, 0, -24, -11, -92
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\TokenUtil.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -22, 0, 0, 0, 0, -10, -9, -41
"c:\Learning\sample\synchronous github\MarkdownOL\learning\blossom-dev\blossom-backend\backend\src\main\java\com\blossom\backend\base\auth\annotation\AssignUser.java", "Java", 0, 0, 0, 0, 0, 0, 0, 0, 0, -7, 0, 0, 0, 0, -3, -3, -13
