Date : 2024-01-25 03:45:45
Directory : c:\Learning\sample\synchronous github\MarkdownOL\source
Total : 86 files,  8078 codes, 819 comments, 896 blanks, all 9793 lines

Languages
+----------------+------------+------------+------------+------------+------------+
| language       | files      | code       | comment    | blank      | total      |
+----------------+------------+------------+------------+------------+------------+
| CSS            |          8 |      3,109 |         36 |        537 |      3,682 |
| TypeScript     |         40 |      2,597 |        421 |        155 |      3,173 |
| TypeScript JSX |         29 |      1,804 |        233 |        124 |      2,161 |
| Less           |          5 |        268 |         40 |         29 |        337 |
| JavaScript     |          1 |        196 |         89 |         17 |        302 |
| Markdown       |          2 |        103 |          0 |         34 |        137 |
| XML            |          1 |          1 |          0 |          0 |          1 |
+----------------+------------+------------+------------+------------+------------+

Directories
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| path                                                                                                                            | files      | code       | comment    | blank      | total      |
+---------------------------------------------------------------------------------------------------------------------------------+------------+------------+------------+------------+------------+
| .                                                                                                                               |         86 |      8,078 |        819 |        896 |      9,793 |
| assets                                                                                                                          |          3 |        104 |          0 |         34 |        138 |
| assets (Files)                                                                                                                  |          2 |        103 |          0 |         34 |        137 |
| assets\img                                                                                                                      |          1 |          1 |          0 |          0 |          1 |
| css                                                                                                                             |         13 |      3,377 |         76 |        566 |      4,019 |
| js                                                                                                                              |         70 |      4,597 |        743 |        296 |      5,636 |
| js (Files)                                                                                                                      |          1 |        179 |         72 |         13 |        264 |
| js\React                                                                                                                        |         32 |      1,858 |        236 |        139 |      2,233 |
| js\React (Files)                                                                                                                |          2 |         52 |          6 |          5 |         63 |
| js\React\Components                                                                                                             |         16 |        702 |         92 |         57 |        851 |
| js\React\Components\Arco                                                                                                        |          1 |         11 |          0 |          3 |         14 |
| js\React\Components\Mui                                                                                                         |          1 |         32 |          0 |          3 |         35 |
| js\React\Components\myCom                                                                                                       |         14 |        659 |         92 |         51 |        802 |
| js\React\Components\myCom (Files)                                                                                               |          8 |        339 |         56 |         29 |        424 |
| js\React\Components\myCom\Layout                                                                                                |          3 |        160 |         15 |         15 |        190 |
| js\React\Components\myCom\Monaco                                                                                                |          1 |        106 |         21 |          4 |        131 |
| js\React\Components\myCom\Switches                                                                                              |          2 |         54 |          0 |          3 |         57 |
| js\React\Mobx                                                                                                                   |          3 |         54 |          3 |         15 |         72 |
| js\React\SubComponents                                                                                                          |         11 |      1,050 |        135 |         62 |      1,247 |
| js\React\SubComponents (Files)                                                                                                  |          2 |        265 |         22 |         18 |        305 |
| js\React\SubComponents\SubBody                                                                                                  |          1 |          9 |          1 |          1 |         11 |
| js\React\SubComponents\SubHeader                                                                                                |          8 |        776 |        112 |         43 |        931 |
| js\React\SubComponents\SubHeader (Files)                                                                                        |          1 |        165 |         22 |         10 |        197 |
| js\React\SubComponents\SubHeader\Export                                                                                         |          1 |        171 |         16 |          8 |        195 |
| js\React\SubComponents\SubHeader\Settings                                                                                       |          4 |        180 |         45 |         15 |        240 |
| js\React\SubComponents\SubHeader\Settings (Files)                                                                               |          1 |         33 |         45 |          2 |         80 |
| js\React\SubComponents\SubHeader\Settings\Subsettings                                                                           |          3 |        147 |          0 |         13 |        160 |
| js\React\SubComponents\SubHeader\Share                                                                                          |          1 |        112 |         10 |          3 |        125 |
| js\React\SubComponents\SubHeader\SubImgManager                                                                                  |          1 |        148 |         19 |          7 |        174 |
| js\functions                                                                                                                    |         34 |      2,373 |        378 |        117 |      2,868 |
